Date,Time,HMO,TP,DIR
30/01/1997,00:00,0.99,4.72,69.36
30/01/1997,03:00,0.86,4.66,74.28
30/01/1997,06:00,0.74,4.63,79.99
30/01/1997,09:00,0.66,4.61,85.94
30/01/1997,12:00,0.61,4.62,91.91
30/01/1997,15:00,0.58,4.67,97.68
30/01/1997,18:00,0.59,4.79,102.72
30/01/1997,21:00,0.6,5.05,110.2
31/01/1997,00:00,0.61,5.22,113.17
31/01/1997,03:00,0.64,5.38,115.53
31/01/1997,06:00,0.66,5.61,117.74
31/01/1997,09:00,0.69,5.82,118.81
31/01/1997,12:00,0.74,6.17,119.65
31/01/1997,15:00,0.78,6.42,120.44
31/01/1997,18:00,0.84,6.57,121.41
31/01/1997,21:00,0.92,6.92,120.43
01/02/1997,00:00,1.16,7.28,119.08
01/02/1997,03:00,1.68,7.48,171.31
01/02/1997,06:00,2.17,8.09,209.36
01/02/1997,09:00,2.54,8.5,224.35
01/02/1997,12:00,2.77,9.03,224.73
01/02/1997,15:00,2.89,9.25,228.26
01/02/1997,18:00,3.01,9.74,227.84
01/02/1997,21:00,3.14,10.45,229.07
02/02/1997,00:00,3.23,11.01,227.14
02/02/1997,03:00,3.25,11.22,227.22
02/02/1997,06:00,3.2,11.3,227.17
02/02/1997,09:00,3.1,11.33,227.01
02/02/1997,12:00,2.98,11.32,226.75
02/02/1997,15:00,2.85,11.29,226.48
02/02/1997,18:00,2.8,11.24,226.27
02/02/1997,21:00,2.68,11.2,226.2
03/02/1997,00:00,2.59,11.16,226.28
03/02/1997,03:00,2.52,11.11,226.43
03/02/1997,06:00,2.49,11.04,226.55
03/02/1997,09:00,2.49,10.93,226.56
03/02/1997,12:00,2.54,10.77,226.51
03/02/1997,15:00,2.63,10.53,224.54
03/02/1997,18:00,2.66,6.34,65.53
03/02/1997,21:00,2.61,6.42,62.52
04/02/1997,00:00,2.53,6.55,59.64
04/02/1997,03:00,2.48,6.77,64.74
04/02/1997,06:00,2.41,6.97,63.92
04/02/1997,09:00,2.33,7.07,64.02
04/02/1997,12:00,2.25,7.2,65.71
04/02/1997,15:00,2.21,8.95,196.83
04/02/1997,18:00,2.21,9,186.94
04/02/1997,21:00,2.31,8.99,176.38
05/02/1997,00:00,2.31,8.96,171.77
05/02/1997,03:00,2.25,8.98,174.2
05/02/1997,06:00,2.23,9.08,179.66
05/02/1997,09:00,2.29,9.31,187.82
05/02/1997,12:00,2.43,10.24,218.99
05/02/1997,15:00,2.57,11.16,224.14
05/02/1997,18:00,2.68,11.68,224
05/02/1997,21:00,2.74,12.06,223.17
06/02/1997,00:00,2.73,12.34,223.46
06/02/1997,03:00,2.66,12.57,223.98
06/02/1997,06:00,2.6,12.81,224.77
06/02/1997,09:00,2.6,12.98,226.77
06/02/1997,12:00,2.8,13.02,227.38
06/02/1997,15:00,3.08,6.37,64.5
06/02/1997,18:00,3.09,7,66.62
06/02/1997,21:00,2.99,7.45,72.93
07/02/1997,00:00,2.33,8.15,93.43
07/02/1997,03:00,2.51,8.16,96.43
07/02/1997,06:00,2.53,7.85,84.41
07/02/1997,09:00,2.44,7.5,97.69
07/02/1997,12:00,2.29,7.48,132.32
07/02/1997,15:00,2.14,7.55,192.15
07/02/1997,18:00,2.06,7.7,208.6
07/02/1997,21:00,2.06,10.98,224.45
08/02/1997,00:00,2.14,10.96,224.74
08/02/1997,03:00,2.25,10.98,225.35
08/02/1997,06:00,2.35,11.01,225.98
08/02/1997,09:00,2.39,11.07,226.54
08/02/1997,12:00,2.37,11.1,227.02
08/02/1997,15:00,2.32,11.12,227.3
08/02/1997,18:00,2.26,11.12,227.3
08/02/1997,21:00,2.21,11.1,227.11
09/02/1997,00:00,2.16,11.06,226.77
09/02/1997,03:00,2.09,11,226.17
09/02/1997,06:00,2.03,10.92,225.28
09/02/1997,09:00,2.08,10.83,224.08
09/02/1997,12:00,2.2,10.73,222.66
09/02/1997,15:00,2.47,10.6,211.43
09/02/1997,18:00,2.67,5.98,66
09/02/1997,21:00,2.77,6.35,66.42
10/02/1997,00:00,2.81,6.58,64.68
10/02/1997,03:00,2.94,6.83,67.29
10/02/1997,06:00,3.11,7.02,65.26
10/02/1997,09:00,3.21,7.31,69.89
10/02/1997,12:00,3.27,7.66,69.94
10/02/1997,15:00,3.31,7.81,70.26
10/02/1997,18:00,3.33,13.6,223.4
10/02/1997,21:00,3.29,13.64,223.98
11/02/1997,00:00,3.18,13.6,224.68
11/02/1997,03:00,3.05,13.55,225.41
11/02/1997,06:00,2.99,13.5,226.12
11/02/1997,09:00,2.92,13.46,226.66
11/02/1997,12:00,2.84,13.42,227.01
11/02/1997,15:00,2.76,13.36,227.11
11/02/1997,18:00,2.71,13.28,227.08
11/02/1997,21:00,2.67,13.16,227
12/02/1997,00:00,2.61,12.99,226.91
12/02/1997,03:00,2.54,12.69,226.04
12/02/1997,06:00,2.46,12.35,226.14
12/02/1997,09:00,2.37,12.16,226.31
12/02/1997,12:00,2.37,12.06,226.49
